Month,Start Price (₹/L),End Price (₹/L),High (₹/L),Low (₹/L)
January,Not detailed,Not detailed,Not detailed,Not detailed
July,104.96,104.84,104.96,104.84
August,104.88,104.76,104.88,104.68
September,104.78,104.77,104.87,104.54
October,104.94,104.77,105.0,104.67
November,104.66,104.78,104.81,96.77
December,104.91,104.81,104.94,104.80
